Customer_Income,First_Buy_Data,Last_Buy_Data,Average_Buy_Amount,Frequency_Level,Buy_Amount_Grade,Special_Buyer,Last_Buy_Amount,Buy_Amount_Average,Class
3,9309,9409,0.06,1,G,0,50,30,0
0,9410,9503,0.2,4,E,0,5,8.75,0
6,9309,9503,0.13,2,G,0,25,22.5,0
0,9210,9411,0.1,1,G,0,25,12.5,0
2,9501,9509,0.14,2,F,0,5,7.75,0
7,9410,9410,0.06,1,G,0,25,25,0
5,9109,9412,0.39,4,E,X,10,7.65,0
6,8602,9411,0.16,2,E,X,14,9.3,0
0,9003,9408,0.23,1,E,X,11,9.15,0
5,9101,9503,0.12,2,F,X,20,14.57,1
1,9409,9502,0.1,2,G,0,30,30,0
4,9201,9501,0.2,2,G,0,25,10,0
3,8810,9412,0.12,2,G,0,27,14,0
5,9209,9409,0.1,1,F,X,15,14,0
6,9407,9511,0.09,1,F,0,25,22.5,0
0,9012,9405,0.15,2,F,0,12,12.45,0
1,9402,9412,0.18,3,E,0,10,7.25,0
1,8508,9412,0.19,1,F,X,15,8.75,0
2,8701,9412,0.24,1,E,X,10,10.8,0
6,9303,9412,0.17,3,F,0,10,10.83,0
2,8509,9406,0.36,2,E,X,10,8.6,0
7,9001,9403,0.16,1,G,X,25,22.2,0
0,9401,9503,0.29,4,F,X,16,8.25,0
5,9406,9503,0.15,3,E,0,9,8,0
0,9308,9502,0.17,3,E,X,12,8.6,0
2,9401,9502,0.18,3,E,X,7,7.75,0
3,9502,9502,0.07,1,F,0,20,20,0
4,9210,9501,0.14,3,E,0,10,7.8,0
5,8709,9412,0.2,1,F,X,20,5.27,0
6,8903,9404,0.12,1,G,0,26,18.14,0
0,9501,9503,0.14,2,G,0,25,20,0
2,9105,9412,0.1,2,G,0,25,23,0
2,8512,9404,0.23,1,F,X,20,10.88,0
7,9402,9501,0.09,1,F,0,20,15,0
3,8602,9406,0.28,1,E,X,10,11.91,0
6,8508,9409,0.25,1,E,X,10,4.08,0
5,8904,9405,0.13,1,F,X,15,8.28,0
4,9209,9406,0.12,1,F,0,16,10.25,0
5,8702,9502,0.25,4,E,X,10,8.93,0
0,9502,9502,0.07,1,F,0,15,15,0
4,8604,9503,0.17,2,E,0,12,10.84,0
5,9009,9410,0.21,1,E,X,13,10.23,0
4,9201,9409,0.12,1,F,0,20,11.6,0
5,9003,9408,0.15,1,F,X,20,13.66,0
2,8510,9410,0.45,3,D,X,6,2.65,1
5,8712,9502,0.25,1,E,X,10,7.17,1
5,9203,9503,0.11,1,F,0,15,8.5,0
2,9210,9410,0.16,2,F,X,15,6.66,0
0,9302,9503,0.17,4,D,X,5,5.16,0
0,8903,9503,0.26,2,F,X,15,9.03,0
4,9011,9503,0.21,1,E,X,10,16.33,0
7,9306,9412,0.1,2,F,0,20,12,0
6,9101,9502,0.17,4,D,X,8,5.66,0
2,9105,9412,0.11,1,F,0,17,12.2,0
5,8903,9405,0.1,1,F,0,15,11.2,0
4,8512,9404,0.2,1,F,X,21,11.53,0
4,9102,9409,0.11,1,F,0,15,7.5,0
7,8901,9409,0.14,1,F,X,15,10.25,0
5,9301,9411,0.23,3,F,X,14,13.75,0
5,9001,9501,0.15,1,F,0,15,10.25,0
4,9002,9501,0.08,1,G,0,75,28,0
5,9310,9404,0.09,1,F,0,20,17.5,0
1,8703,9410,0.21,2,E,X,14,10.41,0
4,9409,9501,0.1,2,F,0,20,12.5,0
0,9001,9412,0.12,1,F,0,15,8.33,0
7,8912,9411,0.07,1,G,0,25,38.33,0
4,9002,9409,0.24,2,E,X,10,6.25,0
2,8604,9503,0.15,3,F,X,16,12.23,0
2,9311,9503,0.17,3,F,X,15,11,0
5,9202,9412,0.08,1,F,0,22,19,0
2,9001,9410,0.15,2,F,0,14,12,0
7,9406,9406,0.05,1,G,0,25,25,0
5,8703,9411,0.23,1,G,X,25,16.94,0
5,9501,9501,0.07,1,F,0,15,15,0
3,8909,9502,0.19,3,F,X,12,10.58,0
0,9110,9409,0.22,3,E,X,11,11,0
2,8508,9511,0.29,1,E,X,12,7.96,0
2,9310,9410,0.18,3,E,0,6,6.4,0
2,9301,9412,0.26,4,E,X,10,9.6,0
0,9309,9412,0.07,1,G,0,25,17.5,0
3,8601,9502,0.21,3,E,X,11,7,0
2,9401,9408,0.09,1,F,0,20,15,0
4,9211,9501,0.09,1,G,0,25,13.66,0
5,9002,9501,0.19,2,G,X,20,11.66,0
6,9402,9408,0.08,1,G,0,25,25,0
3,8709,9502,0.27,3,E,0,10,6.69,0
5,8512,9412,0.39,3,D,X,5,3.64,0
4,8909,9503,0.21,2,G,X,25,18.5,0
2,9407,9412,0.11,2,F,0,20,20,0
5,8606,9406,0.17,1,F,X,15,8.18,0
5,9501,9501,0.07,1,F,0,20,20,0
0,8709,9411,0.33,1,F,X,17,13.42,0
3,8709,9412,0.19,2,E,X,10,8.38,0
4,9501,9501,0.07,1,F,0,15,15,0
7,8703,9411,0.24,4,D,X,5,4.88,0
2,8511,9411,0.29,1,E,X,10,7.47,0
